id,type,intensity,category,isPremium,estimatedTime,requires,safetyNotes,content_en,content_es,translationStatus,notes
f-t1,truth,3,intimate,false,N/A,,,Tell me one thing you want to happen RIGHT NOW.,Dime una cosa que quieras que pase AHORA MISMO.,translated,
f-t2,truth,3,intimate,false,N/A,,,Name one exact thing that makes you lose control. Show me where.,Nombra una cosa exacta que te haga perder el control. Muéstrame dónde.,translated,
f-t3,truth,3,intimate,false,N/A,,,"If you had 60 seconds to turn me on as fast as possible, what would you do?","Si tuvieras 60 segundos para excitarme lo más rápido posible, ¿qué harías?",translated,
f-t5,truth,2,intimate,false,N/A,,,Tell me exactly how you want to be kissed right now.,Dime exactamente cómo quieres que te bese ahora mismo.,translated,
f-d1,dare,2,physical,false,30 sec,,,Kiss me somewhere unexpected—not my lips.,"Bésame en un lugar inesperado, que no sean mis labios.",translated,
f-d2,dare,3,intimate,false,30 sec,,,Take off one piece of my clothing using only your teeth.,Quítame una prenda usando solo los dientes.,translated,
f-d3,dare,3,intimate,false,30 sec,,,Whisper the dirtiest thing you want to do to me right now.,Susúrrame la cosa más atrevida que quieras hacerme ahora mismo.,translated,
f-d5,dare,2,physical,false,30 sec,,,Put both hands in my hair and kiss me like you mean it for 30 seconds.,Pon ambas manos en mi cabello y bésame con ganas durante 30 segundos.,translated,
f-c1,challenge,3,intimate,false,1 min,,,"1 Minute in Heaven: You have 1 minute to have your way with me, anywhere above the waist. No stopping, no talking. GO.","1 minuto en el cielo: Tienes 1 minuto para hacer lo que quieras conmigo, de la cintura para arriba. Sin parar, sin hablar. ¡YA!",translated,
f-c2,challenge,2,playful,false,30 sec,,,Staring Contest: Eyes locked. First one to blink removes a piece of clothing.,Concurso de miradas: Ojos fijos. El primero que parpadee se quita una prenda.,translated,
f-c3,challenge,4,intimate,false,30 sec,,,"No Hands: Touch me for 30 seconds without using your hands. Mouth, body, anything else.","Sin manos: Tócame durante 30 segundos sin usar las manos. Boca, cuerpo, lo que sea.",translated,
f-c4,challenge,2,playful,false,30 sec,ice,,Ice Cube: Kiss me with an ice cube in your mouth. Pass it back and forth. Last one to melt it loses a piece of clothing.,Cubo de hielo: Bésame con un cubo de hielo en la boca. Pásalo de uno a otro. El último en derretirlo se quita una prenda.,translated,
f-fn3,fantasy,3,intimate,false,N/A,,,Act like we just met and give me your best line.,Actúa como si nos acabáramos de conocer y suéltame tu mejor frase.,translated,
f-fn4,fantasy,4,intimate,false,N/A,,,You walk in and catch me touching myself. What do you do?,Entras y me sorprendes tocándome. ¿Qué haces?,translated,
f-r2,roleplay,3,intimate,false,30 sec,,,Doctor / Patient: Give me a full examination. Be very thorough.,Doctor / Paciente: Hazme un examen completo. Sé muy minucioso.,translated,
f-r3,roleplay,3,physical,false,1 min,,,Personal Trainer: Put me through your most intense session. Get me sweating.,Entrenador personal: Ponme a hacer tu sesión más intensa. Hazme sudar.,translated,
f-r4,roleplay,3,intimate,false,30 sec,,,Vampire: You want me. Bite my neck. Take what you need.,Vampiro: Me deseas. Muerde mi cuello. Toma lo que necesitas.,translated,
f-r5,roleplay,3,intimate,false,1 min,,,Yoga Instructor: Adjust my position. Use your hands. Make sure my form is perfect.,Instructor de yoga: Ajusta mi postura. Usa tus manos. Asegúrate de que mi forma sea perfecta.,translated,
